ingredients_text,lang
"Пшенично брашно тип 500 , маргарин (емулгатор Е471, регулатор на киселинноста: Е330, консервант: Е202, оцветител: Е160), захар, палмова мазнина, яйчен меланж, (консервант: Е211,E202,E327,E941), суроватка, шоколадов кувертюр (емулгатор: соев лецитин Е492, суха суроватка ), крем (захар, растително масло палмово, какао на прах 5,3%, суроватка, емулгатор: соев лецитин Е322, аромати: ванилин и лешник ) фъстъчени ядки, ванилин. набухвател: сода бикарбонат.",bg
"зряло сирене, извара, вода, масло, мляко на прах, емулиращи соли (e450, e452), суроватка на прах, регулатор на киселинност: лимонена киселина, сушени гъби 0,38%, сол, стабилизатори (караген, e415)",bg
"краве мляко, сметана, закваска, сол,",bg
грис от твърда _пшеница_,bg
"Вода, пълнозърнест овес* (12%) слънчогледово масло, готварска сол. от контролирано биологично земеделие. **Без лактоза.",bg
"Вода, концентриран сок от ябълка (мин.10%), киселина: лимонена киселина, ароматизант, подсладители: стевиол гликозиди, сукралоза, оцветител: Е150d",bg
"о, изпо Намери 1 or 50000 гъ: ненца или, 1 от 50000 ки ели млека, преди 400g нетно количество 95 мляко Боженци ,,,,,,,,,, ● asedy:M LL,{ ,,,,, 1,8 ,, ** ,,,, 2,2% масленост краве кисело мляко Хранителна стойност в 100 g продукт 218 Енергийна стойност",bg
"Какаова глазура 36% [растително частично хидрогенирано масло (палмово), захар, декстроза, суроватка на прах, суроватъчен пермеат, какао на прах с намалено маслено съдържание 3%, емулгатор: соев лецитин, ароматизант: ванилин, какаов крем 26% [растително масло (палмово), захар, суроватка на прах, малтодекстрин, суроватъчен пермеат, декстроза, какао на прах с намалено маслено съдържание 4%, какао маса 2%, ванилов крем 26%, захар, суроватка на прах, малтодекстрин, декстраза, суроватъчен пермеат), пшенично брашно, картофено нишесте, слънчогледово олио, емулгатар: соев лецитин, набухвател: натриев хидроген карбонат, сол. Съдържа глутен, соя и млечни продукти.",bg
"MAH НЕРГИН CTOMH 100r MАЗНННИ - 16гр, 0Т КОМТО НАСИТЕНИ МАСТИ! ВЪГЛЕХИДРАТИ 0,7гр 0Т КОИТО З БЕЛТЬЦИ - 16,07гр,СОЛ ОТ 1,8% д СЪХРАНЕНИЕ ПРИ Т, 0°-5°С ПРОДУКТ LO22 10621 най добро де: 26,08,2022 12612044 П002326",bg
"Пшенично брашно (ГЛУТЕН), питейна вода, кисело МЛЯКО, мая, сол, захар, СУСАМ, мак, ким, петмес от грозде, трици, квас (изсушена смелена зряла ПШЕНИЦЯ), ензими, ПШЕНИЦА. може да съдържат следи от ядки.",bg
"механично отделено птиче месо, вода, свинско месо и сланина, царевично нишесте, стабилизатор: трифосфати, консервант: натриев нитрит, сол, подправъчна смес 0,5% (подправки, подправъчни екстракти, _горчица (синап)_, сол, глюкоза, ароматизант, овкусител: мононатриев глутаман",bg
"Грис от твърда ПШЕНИЦА (87 %, ЕС и извън ЕС), вода. Може да съдържа следи от ЯЙЦА.",bg
"Вода, _ечемичен малц_, хмел",bg
"Сладка царевица, вода, сол.",bg
"Печени белени пиперки 61%, печен белен патладжан 16%, доматено пюре 11%, слънчогледово олио, захар, сол, кимион, черен пипер.",bg
"Маслини (52 %), саламура (вода, готварска сол, регулатор на киселинност:  млечна киселина)",bg
"Праскови (53%), вода, захар, регулатор на киселинността: лимонена киселина, антиоксидант: аскорбинова киселина.",bg
"бял боб, вода, сол, Антиоксидант Е 385, консервант Е 223.",bg
"97% овче мляко, сол, регулатор на киселинността: калциев хлорид; сирищни ензими, млечнокисели култури.",bg
"зелени чушки 40%. пьлнех от КРЕМА СИРЕНЕ (КРЕМА СИРЕНЕ, СИРЕНЕ ОТ СУРОВАТКА, чесън, билки, сол, оцет), сльнчогледово олио, червени чушки, билки. Стабилизатори: гума локуст бийн, карагенан. Регулатори на киселиността: оцетна киселина, лимонена киселина. Антиоксидант: НАТРИЕВ МЕТАБИСУЛФИТ. Консервати: натриев бензоат, калиев сорбат.",bg
"КРАВЕ МЛЯКО, ЗАКВАСКА МАЯ, сол",bg
ep মাতবে হলিউড,bn
"ময়দা, চিনি, ইস্ট, দুধ, ক্রিম, পানি, ডিম, তেল ও লবণ",bn
"মিরিস্টিক এসিড, গ্লিসারিন, প্রোপাইলিন গ্লাইকল, পটাশিয়াম হাইড্রোক্সাইড,  পামিটিক এসিড এবং স্টিয়ারিক এসিড, লরিক এসিড, গ্লাইকল ডাইস্টিয়ারেট,  ডেসাইল গ্লুকোসাইড,  পামিটিক এসিড, হাইড্রপক্সিস্টিয়ারিক এসিড,  গ্লিসারিল স্টিয়ারেট,  পলিকোয়াটার্নিয়াম -৭,  প্রিজারভেটিভ, নিয়াসিনামাইড,  টোকোফেরিল এসিটেট, সোডিয়াম এসকোরবিল ফসফেট, পাইরিডক্সিন হাইড্রোক্লোরাইড, ডাইসোডিয়াম ইউটিএ,  পারফিউম, বেনজাইল স্যালিসাইলেট,  সিট্রোনেলেন, লিনোনেন,  লিনালুল",bn
"উপাদানসমূহ: মিল্ক সলিড্স, পানি, চিজ, ইমালসিফায়ার্স (ই-৪৫২, ই-৩৩১, ই-৩৩৯), আয়োডিনযুক্ত লবণ, প্রিজারভেটিভ (ই-২০০), এসিডিটি রেগুলেটর (ই-২৭০, ই-২৬০), স্ট্যাবিলাইজার (ই-৪১২) এবং অ্যাডেড প্রাকৃতিক ফ্রেন্ডারিং উপাদানসমূহ।
",bn
"ময়দা, রিফাইন্ড এডিবল ভেজিটেবল অয়েল ও ফ্যাটস্, চিনি, আয়োডিনযুক্ত লবণ, চীজ পাউডার, ক্যালসিয়াম কার্বনেট, ডিহাইড্রেটেড ভেজিটেবল, লিকুইড গ্লুকোজ, দুধ ও দুগ্ধজাত দ্রব্য, লিভেনিং এজেন্টস্ (ই-৪৫০(i), ই-৫০০(ii), ই-৫০৩(ii)], ডো-কনডিশনার (ই-২২৩), ইমালসিফায়ারস্ (ই-৩২২), (ই-৪৭২ই), এন্টি অক্সিডেন্ট (ই-৩১৯) এবং ফুড গ্রেড ফ্লেভারস্। এলার্জি উপদেশ: এলার্জি সৃষ্টিকারী খাদ্য উপকরণ মোটা অক্ষরে উল্লিখিত আছে। এই পণ্যটি যে কারখানায় উৎপাদন করা হয়েছে, সেখানে আরও কিছু পণ্য প্রক্রিয়াজাত করা হয়, যার মধ্যে স্বল্প পরিমাণে ডিম, দুধ, সয়া ও বাদাম থাকতে পারে।",bn
"কর্ন স্টার্চ, চিনি, লবণ, ডিহাইড্রেটেড কর্ন বিটস্, সয়া প্রোটিন, ফ্লেভার এনহ্যান্সার - ৬২১, ডিহাইড্রেটেড চিকেন মিট, হাইড্রোজেনেটেড ভেজিটেবল অয়েল,হাইড্রোলাইজড ভেজিটেবল প্রোটিন, ফ্লেভারস (চিকেন এবং কর্ন (ন্যাচার আইডেন্টিকাল এবং আর্টিফিশিয়াল) ফ্লেভারস), ফ্লেভার এনহ্যান্সার-৬২৭ এবং ৬৩১, ডিহাইড্রেটেড লিকস্, মশলাসমূহ।
খুব সামান্য পরিমাণ গ্লুটেন, শ্রিম্প, সেলেরি, মাস্টার্ড, দুধ এবং বাদাম থাকতে পারে।",bn
"সোডিয়াম কার্বোনেট, সোডিয়াম সালফেট, সোডিয়াম এলএএস, পারফিউম, ডিএএসসিসি, ডিএসবিপি",bn
"তরল দুধ, পরিশোধিত চিনি, স্কিম্‌ড মিল্ক পাউডার (এসএমপি) এবং লাইভ কালচার।",bn
গরুর দুধ,bn
"সোপ নুডলস, ট্যালক, পাইন অয়েল, পিসিএমএক্স, রং এবং অন্যান্য",bn
"বিশুদ্ধ পানি, বেনজোয়েল এলকোহল, বিউটাইল কার্বিটল, ভেজিটেবল গাম, সিনথেটিক ডাই, ইউকালিপ্টাস ওয়েল, ক্লোভ ওয়েল, মিথাইল ক্লোরো আইসোথিয়াজোলিনোন, মিথাইল প্যারাবেন, প্রপাইল প্যারাবেন, ডিএমডিএম হাইডানটইন,সর্বিক এসিড এবং মিথাইল আইসোথিয়াজোলিনোন",bn
"গোলমরিচ, মরিচ, দারচিনি, এলাচ, জায়ফল, জয়ত্রি, জিরা, শাহিজিরা",bn
"ঈগলু ভ্যানিলা আইসক্রিম উপাদান: পরিশোধিত পানি, চিনি, মিল্ক সলিডস, ভেজিটেবল ফ্যাট, মিল্ক ফ্যাট, গ্লুকোজ সিরাপ, ইমালসিফায়্যার (ই৪৭১), স্ট্যাবিলাইজার (ই ৪০৭, ই ৪১২, ই ৪৬৬), অনুমোদিত কৃত্রিম সুগন্ধি বস্তু এবং অনুমোদিত প্রাকৃতিক রঞ্জক (ই ১৬০ বি)। * ইগলু আইসক্রিমে ব্যবহৃত ইমালসিফায়্যার (ই ৪৭১) ভেজিটেবল ফ্যাট থেকে সংগৃহীত। * এলার্জি ও অসহিষ্ণু প্রতিক্রিয়া সৃষ্টিকারী খাদ্য উপাদানসমূহঃ দুগ্ধ (ল্যাকটোজসহ)।",bn
"কার্বনেটেড ওয়াটার,
সুগার
অ্যাসিডুলেন্টস
স্টেবিলাইজার্স
ক্লাউডিং এজেন্ট
প্রিজারভেটিভ
কালারস
আর্টিফিশিয়াল ফ্লেভারস্",bn
গম,bn
লবণ,bn
"দুধ, চিনি, খাবার লবণ, বিট লবণ, স্ট্যাবিলাইজার, ল্যাকটিক কালচার",bn
"Sastojci: voda, ugljični dioksid / ugljikov dioksid (najmanje 2 g/L), boja/bojilo: E 150d, kiselina: fosforna kiselina, regulator kiselosti: E331, sladila: acesulfam K, aspartam (sadrži izvor fenilalanina) i natrijev ciklamat, konzervans: E 211, prirodne arome (uključujući i kofein), stabilizator: E 414.",bs
"Mekani bjskvit punjen s kremom okusa kakaa 25% i ukrašen kakaovim preljevom 30% Sastojci: BISKVIT 45%: pšenično brašno, šećer, cjelovito jaje u prahu, repičino ulje, glukozni sirúp, tvarí zá zadržavanje vlage (glicerin, sorbitol), sirutka u prahu, pšenični škrob, emulgatori (mono i digliceridi masnih kiselina, poliglicerolni esterí masnih kiselina, sojin lecitin), tvari za rahljenje (dinatrijev difosfat, natrijev hidrogenkarbonat), sol, konzervans (kalijev sorbat), arome: vanilija, prirodna naranča. Kakaov preljev 30%: šećer, potpuno hidrogenirana biljna mast (palmina, palmìno jezgro), kakaov prah (min.15%), emulgator (sojin lecitin), aroma: vanilija. Krema s okusom kakaa 25%: biljna mast (palmina), glukozno-fruktozni sirup, šećer, dekstroza, kakao prah, obrano mlijekou prahu, sirutka u prahu, emulgatori (mono i digliceridi masnih kiselina, poliglicerolni esteri masnih kiselina, sojinlecitin), sol, aroma: čokolada; regulator kiselosti (limunska kiselina), konzervans (kalijev sorbat). Može sadržavati tragove lješnjaka. Čuvati na suhom i hladnom mjestu. Najbolje upotrijebíti do: datuma otisnutog na omotu.",bs
"Proteini doprinose povecunjuiodržovanju misicne mase Voćnijogurt bez laktoze JAGODA, BOGAT PROTEINIMA. Sastojci: pasterizirano obrano mlijeko s0,1 mljecne masti, mliječni proteini,šećer, sok od jagode proizveden od koncentriranog soka 4,5 %, modificirani kukurnzani skrob, zgušnjivač: pektin, regulator kiselosti natrie tait, aroma šumske jagode, bojila: koncentrat mrkve,laktaza, agurtna kultura. Joqurt PROTEIN sadržava mlijecne proteine koji pridonose povećanju i održavanju mis mase, Uravnotežena iraznovrsna prehrana i zdrav nacin života iznimno su važni. Upotrijebiti do datuma otisnutog na cepu, uz obvezno čuvanje na hladnom od +4 °C do +8'C",bs
"Sastojci: kukuruzni griz, kikiriki (25%), biljna mast, soja, sol, ALERGEN INFO: Proizvod sadrži soju i kikiriki,",bs
"voda, meso 29%, biljno ulje (suncokretovo, repičino i sojino u promjenljivom odnosu), mliječne bjelančevina 3%, kokoša mast, koncentrirana kokošja supa, sojino brašno, kuhinjska so, začini i aromatično bilje, ekstrakt kvasca, ekstrakt paprike.",bs
"BOŽIĆNA RUČNO RADENA LIZALICA 50 G Spiralna zalica s okusom voća Sastojci šećer, glukozni sirup, vode, regui ito kiselo (E330), stabilizat (E33R), prirodi aroma (tutti frutt), aroona ba Koncert, at bateta i koncent at soka od jabuke, † 141)], Nuttivne vrijecnosti 100 mergetske vrijednost 1665,34 397,",bs
"Sastojci: kukuruz 75,2%, suncokretovo ulje, sol 0,8%, Može sadržavati tragove mlijeka i mliječnih proizvoda,",bs
"šećer, kakao masa, karamelizovani kikiriki 15% (kikiriki, šećer, glukozni sirup), kakao maslac, punomasno mleko u prahu, mlečna mast, emulgator sojin lecitin, kuhinjska so 0,3%, aroma. Može da sadrži bademe, lešnike i gluten.",bs
"Rafinisana morska so, sitna, jodirana Sastojci: natrijum hlorid 99 - 99,9%, kalijum jodid 20-30 mg /kg soli, sredstvo protiv zgrudvavanja E-536 max, 20mg/kg, Zemlja porekla soli: Turska Datum pakovanja i jodiranja: označen na gornjoj strani pakovanja, Najbolje upotrebiti do: Lot broj: Čuvati na suvom i tamnom mestu, Proizvedeno u: Srbiji Stavlja u promet: Metro Cash , Carry Beograd d,o,o,, Autoput za Novi Sad 120, 11080 Beograd, Srbija,",bs
"Namaz od kikirikija, Sastojci: prženi kikiriki 95%, šećer, sol, Može sadržavati tragove orašastih plodova, Čuvati na sobnoj temperaturi, Zbog prirodnog odvajanja ulja, ulje aromatičnog kikirikija može biti vidljivo na vrhu, Prije upotrebe promiješati,",bs
"kašasti sok od paradajza od koncentrisanog soka paradajza (110 g paradajza na 100 g proizvoda), šećer, so, začini (origano 0,08%, bosiljak 0,02%),",bs
"RS BELA ČOKOLADAU OBLIKUDISKOVA (CALLETS) Sastojd šećer, kakao maslac, punomasto mleko u prahu, emulgator soja lecitin, prirodna aroma vanile, Sadzi min, 20% kakao maslaca, min, 14% suve materije mleka, min, 3,5% mlečne količina 400g Čuvatina, temperaturi 12-20°Cmasti eto ou zasticeno od toplote Najbolje upotrebiti do: datuma utisnutog na poladini ambalaže, Lot broj odštampan na poledini ambalaže, Proizvođač: Barry Callebaut, Aalsters estraat 122, 9280 Lebbeke-Wieze, Belgija, Uvozil stavlja u promet u RS: METRO Cash , Carry d,o,o, Beograd, Autoput za Novi Sad 120 11080 Beograd, Srbia Prosečn a nutritivna vrednost izratena na 100 g proizvoda Energija: 2381 kJ/",bs
"SL SRB-MNE Sastojd: voda, šećer celina imunka kiselina, regular genkarbonat, prirodna aroma li marak divat sillikad kiselina, DL-a-tokoferilaceta nikotinum-panorer natrijum-riboflavin-3-fosfat, p doken drohledjankalam kiselina Boja napitka potiče od vitamina B2, Par ema: Skufiger a gomiji deo zatvarača da bi Cedevita granule pal uvodu, zatim predumu zak napitak se može piti, Dedi i odraslima preporuča se jedan napitak eng Odrasli mogu pridrzavati se uravnotežene i raznovrsne ishranej zdravce adina Za Drak ishrani je ze Preporučena dnevna doza ne sme se prekoračiti, Cuvati var nafaja dece Catina spomen zastitni čep čuva stabilnost vitamina, Broj i datum upis u bazu podataka Ministacats Crnu Go: ATACO-Trgovina i zastupanja d,o,o,, Bandia bb 1410 Cao grad, WE P 16,09,2019, god, Uvoznik za Srbiju: ATLANTIC BRANDS d,o,o, B grad, B devar Peka Dapela 12, T panjenjen za djeđu mlađu od 3 godine,MK",bs
"HR/BIH/MNE Sterilizirano, homogenizirano mlijeko s 2,8 % mliječne masti, bez laktoze, Prirodni izvor kalcija, Sastojci: mlijeko s 2,8% m,m,, enzim laktaza, Nije potrebno kuhati, Neotvoreno se može čuvati na sobnoj temperaturi, Prije upotrebe protresti, Nakon otvaranja proizvod čuvati u hladnjaku do  8 °Ci potrošiti u roku od 2 do 3 dana, Najbolje upotrijebiti do datuma otisnutog na vrhu pakiranja, Mlijeko bez laktoze namijenjeno je svima koji imaju smetnje kod probave mliječnog šećera laktoze koji je sastavni dio mlijeka, U tom mlijeku laktoza je razgrađena na jednostavnije šećere te je zato lako probavljivo i karakterističnog slatkastog okusa,",bs
"uding Sa ukusom vanile rašak za pripremanje pudinga sa ai mom vedky odati: 500 ml mleka, 2-3 kašike (30-60 g) šećera astojci: kukuruzní skrob, arome (sadrži MLEKO), kuhinjska so, boje E 160a(i), E 100), Prosečna nutritivna vrednost 100 g proizvoda pripremljenog sa mlekom 1,5% m,m, i 30 g šećera: Energija 358 kJ/",bs
"W2-E4-UT ja secer, kakao maslac, punom mleko u prahu, emulgator RS BELA ČOKOLADAU OBLISKOVA (CALLETS) soja lecitin, prirodna bma vanile asto Sadzi min, 20% kakao maslaca, min 14% suve materije mleka, min, 3,5% mlečne masti Neto kontin 400g vati na temperaturi 12-20°C ha suvom mestu stićeno od toplote Najbolje upotrebiti do: datuma utisnutog na poladini ambalaže, tot broj odštampanna poleđini ambalaže Proizvoded Barry Callebaut, Aalstersestraat 122, 9280 Lebbeke-Wieze, Belgija Uvozil stavlja promet u RS: METROCash , Carry d,o,o, Beograd, Auoput za Novi Sad 120 11080 Beograd, Srbija Prosečna nutritivna vrednost izratena ha 100 g proizvoda Energia: 2381 kJ/",bs
"Pit de pollastre (42 %), aigua, farina de blat, farina de blat de moro, oli vegetal de gira-sol, cansalada de porc, midó de blat de moro, proteïnes de la llet, sal, proteïna de soja, pa ratllat (farina de blat, aigua, sal i llevat), gasificants (difosfat disòdic i carbonat àcid de sodi), aroma, dextrosa, pebre blanc, aroma de fum, espessidor (goma de guar), estabilitzant (trifosfat pentasòdic) i correctiu de l'acidesa (àcid cítric). Salsa barbacoa (13 %): tomàquet, sucre, vinagre d'alcohol, xarop de glucosa i fructosa, midó modificat de blat de moro, sal, colorant a base de productes vegetals (poma, pastanaga, hibisc i melassa), estabilitzants (goma guar, goma garrofí i carragahen), mostassa, aroma, conservadors (benzoat sòdic i sorbat potàssic) i aroma de fum.",ca
"Filet d'indiot Pais de cría: Espanya Pais de sacrifici: Espanya (Catalunya) Envasat en atmosfera protectora INFORMACIÓ NUTRICIONAL per 100g BONPREU INFORMA Valor energètic 454kJ/107kcal Cuinar completament abans Greixos de consumir, dels quals saturats Hidrats de carboni dels quals sucres Proteïnes Sal 1,7 g 0,6 g &lt;0,5 g &lt;0,5 g ATENCIÓ AL CLIENT 900 500 005 23 g 0,19 g LOT:0701621 8424410655698|| ES (10,01506/T) CE Conservar entre 0 i 4°C Envasat per a BON PREU SAU Ctra, C-17, Km 73 08508 Les Masies de Voltregà DATA DE CADUCITAT 19,06,21 PREU KG PES NET 10,50 0,300kg 3,15€ PREU TOTAL",ca
Cafè descafeïnat,ca
OLI D'OLIVA VERGE 100%,ca
"Llet pasteuritzada de vaca, sal, ferments làctics I quall.",ca
"Midó de patata (42 %), farina de patata (38 %), oli vegetal de gira-sol, sal i sucre.",ca
"Llet pasteuritzada de cabra, sa uall, secuestrant: clorur càlcic i ferments lactics, Origen de la llet: Espanya, INFC Gra IH Conservar entre 2°C y 8°C, Una vez abierto el envase, rvaren elorífico y consumir en un máximo de 3 días, En sa atr era protectora, Consunre ntemente antes del/Lote: ver envase Consumi tentment abans de/Lot: veure envàs, (or",ca
"Carn de pollastre (68%), espinacs (23%), farina d'arròs, farina de pèsol, sal, all, aroma natural, pebre negre molt.",ca
"Pinya, suc de pinya, correctiu de l'acidesa (àcid cítric)",ca
"Pit d'indiot (85%), aigua, estabilitzants (sorbitol, carragahen, tripolifosfat sòdic), sal, antioxidants (lactat potàssic, ascorbat sòdic), xarop de glucosa, aromes, sal de potassi, conservador (nitrit sòdic).",ca
"Cereais (49%)(farina de blat, farina de civada i sèmola d'arròs), farciment de xocolata avellanes (35%) [sucre, oli de gira-sol, oli de colza, xocolata (3,9%)(sucre, cacau en pols, mantega de cacau i emulsionant (lecitina de colza)), avellanes (1,8%), cacau en pols (1,2%), llet desnatada en pols, aromes, antioxidant (extracte ric en tocoferols)], xocolata en pols (9,4%) (sucre i cicau en pols), segó de blat, sucre, sal, vite.mines (B1, B2, PP, B6, B12, biotina, àcid fòlic i B5) i ferro.",ca
"llet pasteuritzada de vaca, llet en pols desnatada, proteines de la llet i ferments lactics.",ca
"llet pasteuritzada de búfala, sèrum de llet, sal i quall.",ca
"Ilet pasteuritzada d'ovella, sal, enduridor (clorur cálcic), conservador (lisozim derivat de l'ou), quall, ferments làctics i recobriment de la crosta [conservadors (natamicina i sorbat potàssic) i colorant (òxids i hidròxids de ferro)).",ca
"Aigua, sucre, dextrosa, estabilitzants (carragahen, goma garrofi i clorur calcic), correctors d'acidesa (àcid cítric, citrat sodic i citrat potàssic), aromes i colorant (curcumina).",ca
"Cereals (44 %) sèmola d'ambs, farina de blat integral (15 %) i farina de civada), farcit de xocolata (40%) Sucre, oli vegetal de gira-sol, greix de coco, sèrum lactic en pols, xocolata (5,4 % (sucre, cacau en pols Imantega de cacau), avellanes (1,2 %), emulgent (lecitina de gira-sol), aroma natural i antioxidant extracte ric en tocoferols)), xocolata en pols (10 %) sucre i cacau en pols), segó de blat, sucre, llet sencera en pols (2 %), vitamines [vitamina E (acetat de DL-alfa tocoferil), tiamina (clorhidrat de tiamina), riboflavina, niacina (nicotinamida), vitamina B6 (clorhidrat de piridoxina), àcid folic (àcid pteroilmonoglutamic) i vitamina B12 (cianocobalaminal], ferro i sal. Pot contenir soja i altres fruits de closca.",ca
"Tonyina clara, oli vegetal de gira-sol i sal.",ca
"Majonéza (řepkový olej, pitná voda, pasterovaný vaječný žloutek, cukr, ocet kvasný lihový, jedlá sůl, zahušťovadla: guma guar, xanthan), 31% sýr Eidam (mléko, jedlá sůl, sýrařské kultury, syřidlo), 3% konzervované feferony (chilli papriky - feferonky, jedlá sůl, konzervant: benzoan sodný), 3% sušený česnek.",cs
"97,5 % ovocná šťáva a dřeň v různém poměru (koncentrát jablečné šťávy, jablečná dřeň, 6% mangová dřeň, koncentrát šťávy z maracuji, koncentrát at pomerančové šťávy), želírující látka: pektiny; citrusová vláknina, přírodní aroma, koncentrát citronové šťávy.",cs
